From_Date, region_id, region_name, Company_Id, Company_Name, profitcenter_id, Profitcenter_Name, usr_Id, Level, STATUS, Total Sales, Credit App#, Sales$-Fin, Avg Ticket Sale, BEDDING SALES, Protection SALES, DELIVERY SALES, Drop Ship Ticket, UPS, Postive Sales, Actual_PrevYear, LastYearSales, Traffic Count, Traffic Count PrevYear, Sales YOY, Gross Margin, Effective Margin, $ Discount, Apps to Traffic, SPG, Sales Count, Avg Item Count, Finance Avg Ticket, Non Fin Avg Ticket, UPS Closing Rate, Traffic YOY
05/08/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,9978.08,1.00,1796.42,7066.94,0.00,NULL,NULL,NULL,NULL,9787.83,0.00,NULL,11.00,8.00,NULL,56.55,55.99,1366.58,9.09,907.10,4.00,4.25,551.31,1636.33,0.00,37.50
05/09/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,21291.61,5.00,13475.79,8802.03,1599.00,NULL,NULL,NULL,NULL,21041.63,2.00,NULL,20.00,14.00,NULL,62.30,57.61,2326.90,25.00,1064.58,9.00,3.00,2120.82,1573.98,0.00,42.86
05/10/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,34995.19,7.00,22342.65,13900.86,8741.04,NULL,NULL,NULL,NULL,29565.32,4.00,NULL,28.00,29.00,NULL,62.23,55.03,1974.89,25.00,1249.83,10.00,6.10,2513.05,755.81,0.00,-3.45
05/11/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,3119.90,1.00,1929.94,2699.93,0.00,NULL,NULL,NULL,NULL,2109.93,3.00,NULL,14.00,29.00,NULL,67.50,63.45,80.00,7.14,222.85,2.00,2.00,306.66,594.98,0.00,-51.72
05/12/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,3668.90,0.00,4108.86,2333.95,238.99,NULL,NULL,NULL,NULL,4998.85,2.00,NULL,14.00,16.00,NULL,62.68,59.69,1609.95,0.00,262.06,3.00,3.00,1369.62,1089.97,0.00,-12.50
05/13/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,2066.89,1.00,1867.96,818.44,0.00,NULL,NULL,NULL,NULL,2976.88,2.00,NULL,18.00,9.00,NULL,52.78,54.95,582.83,5.56,114.83,3.00,3.33,1867.96,604.45,0.00,100.00
05/14/2025,1,West,2,Tallahassee,8,Dothan,NULL,1,W,911.47,1.00,951.51,741.49,521.55,NULL,NULL,NULL,NULL,1711.36,1.00,NULL,15.00,12.00,NULL,-1.95,13.86,277.44,6.67,60.76,3.00,2.33,771.42,313.31,0.00,25.00
06/16/2025,1,West,1,Mobile,1,Mobile,NULL,1,W,6051.79,0.00,4348.80,3167.59,1378.98,NULL,NULL,NULL,NULL,6528.72,2.00,NULL,35.00,23.00,NULL,60.00,59.06,1269.02,0.00,172.91,5.00,3.60,1449.60,1089.96,0.00,52.17
06/16/2025,1,West,1,Mobile,2,DIberville,NULL,1,W,3060.83,0.00,379.97,1660.90,-549.00,NULL,NULL,NULL,NULL,3609.83,1.00,NULL,30.00,17.00,NULL,66.45,66.23,269.99,0.00,102.03,3.00,3.00,126.66,1614.93,0.00,76.47
06/16/2025,1,West,1,Mobile,3,Spanish Fort,NULL,1,W,5034.53,0.00,919.97,1944.66,0.00,NULL,NULL,NULL,NULL,6717.31,0.00,NULL,30.00,23.00,NULL,53.53,60.65,642.47,0.00,167.82,6.00,2.50,306.66,966.22,0.00,30.43
06/16/2025,1,West,1,Mobile,4,Pensacola,NULL,1,W,16886.47,0.00,12155.61,5132.32,0.00,NULL,NULL,NULL,NULL,16785.51,1.00,NULL,20.00,18.00,NULL,62.30,60.55,2090.16,0.00,844.32,6.00,6.33,2431.12,1543.30,0.00,11.11
